Topic,Characteristics,Total,Male,Female
Language spoken most often at home,Shona,25,10,15
Language spoken most often at home,Swahili,45,15,25
Language spoken most often at home,Wolof,5,5,0
Language spoken most often at home,Yoruba,50,20,30
Language spoken most often at home,Niger-Congo languages; n.i.e.,25,15,15
Language spoken most often at home,Nilo-Saharan languages,0,0,0
Language spoken most often at home,Dinka,0,0,0
Language spoken most often at home,Nilo-Saharan languages; n.i.e.,0,0,0
Language spoken most often at home,Sign languages,240,140,100
Language spoken most often at home,American Sign Language,75,35,35
Language spoken most often at home,Quebec Sign Language,0,0,0
Language spoken most often at home,Sign languages; n.i.e,165,100,65
Language spoken most often at home,Sino-Tibetan languages,4775,2315,2460
Language spoken most often at home,Chinese languages,4755,2305,2450
Language spoken most often at home,Cantonese,1765,850,920
Language spoken most often at home,Hakka,35,15,20
Language spoken most often at home,Mandarin,2740,1335,1405
Language spoken most often at home,Min Dong,0,0,0
Language spoken most often at home,Min Nan (Chaochow; Teochow; Fukien; Taiwanese),45,20,25
Language spoken most often at home,Wu (Shanghainese),40,20,20
Language spoken most often at home,Chinese; n.o.s.,115,55,60
Language spoken most often at home,Chinese languages; n.i.e.,0,0,0
Language spoken most often at home,Tibeto-Burman languages,20,10,10
Language spoken most often at home,Burmese,5,0,0
Language spoken most often at home,Karenic languages,0,0,0
Language spoken most often at home,Tibetan,15,10,5
Language spoken most often at home,Tibeto-Burman languages; n.i.e.,0,0,0
Language spoken most often at home,Tai-Kadai languages,100,45,55
Language spoken most often at home,Lao,25,5,15
Language spoken most often at home,Thai,75,35,40
Language spoken most often at home,Tai-Kadai languages; n.i.e,0,0,0
Language spoken most often at home,Turkic languages,120,60,60
Language spoken most often at home,Azerbaijani,5,5,5
Language spoken most often at home,Turkish,95,45,55
Language spoken most often at home,Uyghur,15,10,10
Language spoken most often at home,Uzbek,0,0,0
Language spoken most often at home,Turkic languages; n.i.e.,0,0,0
Language spoken most often at home,Uralic languages,440,210,235
Language spoken most often at home,Estonian,15,10,10
Language spoken most often at home,Finnish,45,20,15
Language spoken most often at home,Hungarian,385,185,205
Language spoken most often at home,Uralic languages; n.i.e.,0,0,0
Language spoken most often at home,Other languages; n.i.e.,5,5,5
Language spoken most often at home,Multiple responses,25975,12440,13535
Language spoken most often at home,English and French,1545,680,865
Language spoken most often at home,English and non-official language,23685,11445,12240
Language spoken most often at home,French and non-official language,155,75,85
Language spoken most often at home,English; French and non-official language,590,245,345
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,640990,312945,328045
Other language spoken regularly at home,None,576335,282615,293715
Other language spoken regularly at home,English,21495,10540,10950
Other language spoken regularly at home,French,7720,3120,4605
Other language spoken regularly at home,Non-official language,34335,16160,18175
Other language spoken regularly at home,Aboriginal,60,25,35
Other language spoken regularly at home,Non-Aboriginal,34275,16135,18140
Other language spoken regularly at home,English and French,205,85,125
Other language spoken regularly at home,English and non-official language,400,195,210
Other language spoken regularly at home,French and non-official language,490,220,275
Other language spoken regularly at home,English; French and non-official language,10,5,10
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,523485,252970,270515
Income of individuals in 2015,Number of total income recipients aged 15 years and over in private households - 100% data,497400,240370,257030
Income of individuals in 2015,Median total income in 2015 among recipients ($),37755,45591,31227
Income of individuals in 2015,Number of after-tax income recipients aged 15 years and over in private households - 100% data,497580,240385,257195
Income of individuals in 2015,Median after-tax income in 2015 among recipients ($),33943,40114,28634
Income of individuals in 2015,Number of market income recipients aged 15 years and over in private households - 100% data,450935,222785,228150
Income of individuals in 2015,Median market income in 2015 among recipients ($),36606,44922,29097
Income of individuals in 2015,Number of government transfers recipients aged 15 years and over in private households - 100% data,349685,151985,197700
Income of individuals in 2015,Median government transfers in 2015 among recipients ($),3840,1631,5014
Income of individuals in 2015,Number of employment income recipients aged 15 years and over in private households - 100% data,385985,197510,188480
Income of individuals in 2015,Median employment income in 2015 among recipients ($),37704,44472,32281
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,523485,252970,270515
Income of individuals in 2015,Number of total income recipients aged 15 years and over in private households - 25% sample data,496955,239905,257050
Income of individuals in 2015,Average total income in 2015 among recipients ($),49018,58216,40434
Income of individuals in 2015,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,497145,239925,257220
Income of individuals in 2015,Average after-tax income in 2015 among recipients ($),40280,46704,34288
Income of individuals in 2015,Number of market income recipients aged 15 years and over in private households - 25% sample data,450320,222340,227985
Income of individuals in 2015,Average market income in 2015 among recipients ($),48598,58488,38953
Income of individuals in 2015,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,349105,151155,197945
Income of individuals in 2015,Average government transfers in 2015 among recipients ($),7090,6365,7644
Income of individuals in 2015,Number of employment income recipients aged 15 years and over in private households - 25% sample data,385985,197255,188725
Income of individuals in 2015,Average employment income in 2015 among recipients ($),48217,55920,40165
Income of individuals in 2015,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,523485,252970,270515
Income of individuals in 2015,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,191215,106020,85200
Income of individuals in 2015,Median employment income in 2015 for full-year full-time workers ($),60089,66395,53793
Income of individuals in 2015,Average employment income in 2015 for full-year full-time workers ($),69517,77133,60038
Income of individuals in 2015,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,100,100,100
Income of individuals in 2015,Market income (%),89.8,93,85.5
Income of individuals in 2015,Employment income (%),76.1,78.7,72.7
Income of individuals in 2015,Government transfers (%),10.2,7,14.5
Income of individuals in 2015,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,523485,252970,270515
Income of individuals in 2015,Without total income,26085,12600,13485
Income of individuals in 2015,With total income,497400,240370,257030
Income of individuals in 2015,Percentage with total income,95,95,95
Income of individuals in 2015,Under $10;000 (including loss),73800,31630,42170
Income of individuals in 2015,$10;000 to $19;999,76740,30080,46660
Income of individuals in 2015,$20;000 to $29;999,59100,23145,35955
Income of individuals in 2015,$30;000 to $39;999,50115,22000,28115
Income of individuals in 2015,$40;000 to $49;999,49640,23300,26335
Income of individuals in 2015,$50;000 to $59;999,41460,20875,20580
Income of individuals in 2015,$60;000 to $69;999,32920,17815,15105
Income of individuals in 2015,$70;000 to $79;999,26460,15180,11280
Income of individuals in 2015,$80;000 to $89;999,21490,12540,8950
Income of individuals in 2015,$90;000 to $99;999,18150,10325,7830
Income of individuals in 2015,$100;000 and over,47535,33480,14055
Income of individuals in 2015,$100;000 to $149;999,33825,23040,10785
Income of individuals in 2015,$150;000 and over,13710,10440,3265
Income of individuals in 2015,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,523485,252970,270510
Income of individuals in 2015,Without after-tax income,25900,12585,13320
Income of individuals in 2015,With after-tax income,497585,240385,257200
Income of individuals in 2015,Percentage with after-tax income,95.1,95,95.1
Income of individuals in 2015,Under $10;000 (including loss),75920,32070,43850
Income of individuals in 2015,$10;000 to $19;999,80275,31630,48645
Income of individuals in 2015,$20;000 to $29;999,68605,27660,40945
Income of individuals in 2015,$30;000 to $39;999,62700,28485,34215
Income of individuals in 2015,$40;000 to $49;999,58660,29010,29650
Income of individuals in 2015,$50;000 to $59;999,44300,23890,20410
Income of individuals in 2015,$60;000 to $69;999,33590,19570,14020
Income of individuals in 2015,$70;000 to $79;999,26270,15225,11045
Income of individuals in 2015,$80;000 and over,47260,32845,14410
Income of individuals in 2015,$80;000 to $89;999,16970,10660,6310
Income of individuals in 2015,$90;000 to $99;999,9910,6875,3030
Income of individuals in 2015,$100;000 and over,20385,15310,5070
Income of individuals in 2015,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,523480,252970,270510
Income of individuals in 2015,Without employment income,137500,55465,82035
Income of individuals in 2015,With employment income,385985,197505,188480
Income of individuals in 2015,Percentage with employment income,73.7,78.1,69.7
Income of individuals in 2015,Under $5;000 (including loss),56155,28635,27520
Income of individuals in 2015,$5;000 to $9;999,29245,12575,16670
Income of individuals in 2015,$10;000 to $19;999,45835,20145,25685
Income of individuals in 2015,$20;000 to $29;999,35690,15580,20110
Income of individuals in 2015,$30;000 to $39;999,34130,14935,19195
Income of individuals in 2015,$40;000 to $49;999,33755,15355,18395
Income of individuals in 2015,$50;000 to $59;999,30340,15280,15060
Income of individuals in 2015,$60;000 to $69;999,25355,13740,11620
Income of individuals in 2015,$70;000 to $79;999,21470,12435,9040
Income of individuals in 2015,$80;000 and over,74010,48820,25190
Income of individuals in 2015,$80;000 to $89;999,18225,10725,7495
Income of individuals in 2015,$90;000 to $99;999,16130,9120,7005
Income of individuals in 2015,$100;000 and over,39660,28975,10685
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 100% data,227910,,
Income of households in 2015,Median total income of households in 2015 ($),89834,,
Income of households in 2015,Median after-tax income of households in 2015 ($),77398,,
Income of households in 2015,Total - Income statistics in 2015 for one-person private households - 100% data,44380,,
Income of households in 2015,Median total income of one-person households in 2015 ($),41798,,
Income of households in 2015,Median after-tax income of one-person households in 2015 ($),36908,,
Income of households in 2015,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,183525,,
Income of households in 2015,Median total income of two-or-more-person households in 2015 ($),103544,,
Income of households in 2015,Median after-tax income of two-or-more-person households in 2015 ($),88658,,
Income of households in 2015,Total - Income statistics in 2015�for private households by household size - 25% sample�data,227905,,
Income of households in 2015,Average total income of households in 2015 ($),106886,,
Income of households in 2015,Average after-tax income of households in 2015 ($),87865,,
Income of households in 2015,Total - Income statistics in 2015 for one-person private households - 25% sample data,44375,,
Income of households in 2015,Average total income of one-person households in 2015 ($),52062,,
Income of households in 2015,Average after-tax income of one-person households in 2015 ($),42943,,
Income of households in 2015,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,183535,,
Income of households in 2015,Average total income of two-or-more-person households in 2015 ($),120141,,
Income of households in 2015,Average after-tax income of two-or-more-person households in 2015 ($),98726,,
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,227905,,
Income of households in 2015,Under $5;000,1890,,
Income of households in 2015,$5;000 to $9;999,1725,,
Income of households in 2015,$10;000 to $14;999,3725,,
Income of households in 2015,$15;000 to $19;999,5010,,
Income of households in 2015,$20;000 to $24;999,6400,,
Income of households in 2015,$25;000 to $29;999,6080,,
Income of households in 2015,$30;000 to $34;999,6835,,
Income of households in 2015,$35;000 to $39;999,7080,,
Income of households in 2015,$40;000 to $44;999,7730,,
Income of households in 2015,$45;000 to $49;999,7485,,
Income of households in 2015,$50;000 to $59;999,15510,,
Income of households in 2015,$60;000 to $69;999,15475,,
Income of households in 2015,$70;000 to $79;999,14730,,
Income of households in 2015,$80;000 to $89;999,14505,,
Income of households in 2015,$90;000 to $99;999,13980,,
Income of households in 2015,$100;000 and over,99745,,
Income of households in 2015,$100;000 to $124;999,29645,,
Income of households in 2015,$125;000 to $149;999,22555,,
Income of households in 2015,$150;000 to $199;999,26735,,
Income of households in 2015,$200;000 and over,20810,,
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,227910,,
Income of households in 2015,Under $5;000,2085,,
Income of households in 2015,$5;000 to $9;999,1755,,
Income of households in 2015,$10;000 to $14;999,3795,,
Income of households in 2015,$15;000 to $19;999,5275,,
Income of households in 2015,$20;000 to $24;999,7130,,
Income of households in 2015,$25;000 to $29;999,6950,,
Income of households in 2015,$30;000 to $34;999,7880,,
Income of households in 2015,$35;000 to $39;999,8920,,
Income of households in 2015,$40;000 to $44;999,9100,,
Income of households in 2015,$45;000 to $49;999,9465,,
Income of households in 2015,$50;000 to $59;999,19250,,
Income of households in 2015,$60;000 to $69;999,18700,,
Income of households in 2015,$70;000 to $79;999,18400,,
Income of households in 2015,$80;000 to $89;999,17310,,
Income of households in 2015,$90;000 to $99;999,15220,,
Income of households in 2015,$100;000 and over,76675,,
Income of households in 2015,$100;000 to $124;999,30520,,
Income of households in 2015,$125;000 to $149;999,19610,,
Income of households in 2015,$150;000 and over,26545,,
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,179625,,
Income of economic families in 2015,Median total income of economic families in 2015 ($),103043,,
Income of economic families in 2015,Median after-tax income of economic families in 2015 ($),88198,,
Income of economic families in 2015,Average family size of economic families,3.2,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,52480,,
Income of economic families in 2015,Median total income of couple economic families without children or other relatives in 2015 ($),87910,,
Income of economic families in 2015,Median after-tax income of couple economic families without children or other relatives in 2015 ($),75774,,
Income of economic families in 2015,Average family size of couple economic families without children or other relatives,2,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,92455,,
Income of economic families in 2015,Median total income of couple economic families with children in 2015 ($),127140,,
Income of economic families in 2015,Median after-tax income of couple economic families with children in 2015 ($),107456,,
Income of economic families in 2015,Average family size of couple economic families with children,4.1,,
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,29965,,
Income of economic families in 2015,Median total income of lone-parent economic families in 2015 ($),64311,,
Income of economic families in 2015,Median after-tax income of lone-parent economic families in 2015 ($),57821,,
Income of economic families in 2015,Average family size of lone-parent economic families,2.8,,
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,179510,,
Income of economic families in 2015,Average total income of economic families in 2015 ($),119898,,
Income of economic families in 2015,Average after-tax income of economic families in 2015 ($),98401,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,52385,,
Income of economic families in 2015,Average total income of couple economic families without children or other relatives in 2015 ($),104118,,
Income of economic families in 2015,Average after-tax income of couple economic families without children or other relatives in 2015 ($),85282,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,92490,,
Income of economic families in 2015,Average total income of couple economic families with children in 2015 ($),143831,,
Income of economic families in 2015,Average after-tax income of couple economic families with children in 2015 ($),117085,,
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,29945,,
Income of economic families in 2015,Average total income of lone-parent economic families in 2015 ($),74308,,
Income of economic families in 2015,Average after-tax income of lone-parent economic families in 2015 ($),63643,,
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,60295,28515,31780
Income of economic families in 2015,Median total income in 2015 for persons aged 15 years and over not in economic families ($),37521,41938,34351
Income of economic families in 2015,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),33628,36742,31241
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,60230,28440,31800
Income of economic families in 2015,Average total income in 2015 for persons aged 15 years and over not in economic families ($),47099,51876,42828
Income of economic families in 2015,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),39195,42202,36505
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,639490,312280,327210
Income of economic families in 2015,In the bottom half of the distribution,255840,120390,135450
Income of economic families in 2015,In the bottom decile,42085,20055,22030
Income of economic families in 2015,In the second decile,46015,20540,25480
Income of economic families in 2015,In the third decile,50080,23230,26850
Income of economic families in 2015,In the fourth decile,56220,26720,29500
Income of economic families in 2015,In the fifth decile,61435,29850,31585
Income of economic families in 2015,In the top half of the distribution,383650,191890,191760
Income of economic families in 2015,In the sixth decile,67645,33300,34345
Income of economic families in 2015,In the seventh decile,74095,36590,37505
Income of economic families in 2015,In the eighth decile,80920,40450,40465
Income of economic families in 2015,In the ninth decile,87405,43980,43425
Income of economic families in 2015,In the top decile,73590,37565,36020
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,639365,312205,327155
Low income in 2015,0 to 17 years,141345,72110,69230
Low income in 2015,0 to 5 years,43280,22090,21195
Low income in 2015,18 to 64 years,409770,199825,209945
Low income in 2015,65 years and over,88250,40275,47980
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),62035,28460,33570
Low income in 2015,0 to 17 years,18740,9525,9215
Low income in 2015,0 to 5 years,5930,3020,2910
Low income in 2015,18 to 64 years,36030,16450,19575
Low income in 2015,65 years and over,7270,2485,4785
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),9.7,9.1,10.3
Low income in 2015,0 to 17 years (%),13.3,13.2,13.3
Low income in 2015,0 to 5 years (%),13.7,13.7,13.7
Low income in 2015,18 to 64 years (%),8.8,8.2,9.3
Low income in 2015,65 years and over (%),8.2,6.2,10
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),38065,18315,19745
Low income in 2015,0 to 17 years,10665,5425,5240
Low income in 2015,0 to 5 years,3330,1710,1620
Low income in 2015,18 to 64 years,25025,12010,13010
Low income in 2015,65 years and over,2370,880,1495
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),6,5.9,6
Low income in 2015,0 to 17 years (%),7.5,7.5,7.6
Low income in 2015,0 to 5 years (%),7.7,7.7,7.6
Low income in 2015,18 to 64 years (%),6.1,6,6.2
Low income in 2015,65 years and over (%),2.7,2.2,3.1
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,639495,312285,327210
Knowledge of languages,Official languages,634250,310160,324095
Knowledge of languages,English,633865,309970,323895
Knowledge of languages,French,47090,19805,27280
Knowledge of languages,Non-official languages,127260,61080,66180
Knowledge of languages,Aboriginal languages,125,40,85
Knowledge of languages,Algonquian languages,95,25,70
Knowledge of languages,Blackfoot,0,0,0
Knowledge of languages,Cree-Montagnais languages,35,0,30
Knowledge of languages,Atikamekw,0,0,0
Knowledge of languages,Montagnais (Innu),0,0,0
Knowledge of languages,Moose Cree,0,0,0
Knowledge of languages,Naskapi,0,0,0
Knowledge of languages,Northern East Cree,10,0,0
Knowledge of languages,Plains Cree,10,0,0
Knowledge of languages,Southern East Cree,0,0,0
Knowledge of languages,Swampy Cree,20,0,20
Knowledge of languages,Woods Cree,0,0,0
Knowledge of languages,Cree; n.o.s.,0,0,0
Knowledge of languages,Eastern Algonquian languages,0,0,0
Knowledge of languages,Malecite,0,0,0
Knowledge of languages,Mi'kmaq,0,0,0
Knowledge of languages,Ojibway-Potawatomi languages,60,15,40
Knowledge of languages,Algonquin,0,0,0
Knowledge of languages,Ojibway,55,15,40
Knowledge of languages,Oji-Cree,0,0,0
Knowledge of languages,Ottawa (Odawa),0,0,0
Knowledge of languages,Algonquian languages; n.i.e.,0,0,0
Knowledge of languages,Athabaskan languages,0,0,0
Knowledge of languages,Northern Athabaskan languages,10,0,0
Knowledge of languages,Babine (Wetsuwet'en),0,0,0
Knowledge of languages,Beaver,0,0,0
Knowledge of languages,Carrier,0,0,0
Knowledge of languages,Chilcotin,0,0,0
Knowledge of languages,Dene,10,0,10
Knowledge of languages,Dogrib (Tlicho),0,0,0
Knowledge of languages,Gwich'in,0,0,0
Knowledge of languages,Sarsi (Sarcee),0,0,0
Knowledge of languages,Sekani,0,0,0
Knowledge of languages,Slavey-Hare languages,0,0,0
Knowledge of languages,North Slavey (Hare),0,0,0
Knowledge of languages,South Slavey,0,0,0
Knowledge of languages,Slavey; n.o.s.,0,0,0
Knowledge of languages,Tahltan languages,0,0,0
Knowledge of languages,Kaska (Nahani),0,0,0
Knowledge of languages,Tahltan,0,0,0
Knowledge of languages,Tutchone languages,0,0,0
Knowledge of languages,Northern Tutchone,0,0,0
Knowledge of languages,Southern Tutchone,0,0,0
Knowledge of languages,Athabaskan languages; n.i.e.,0,0,0
Knowledge of languages,Haida,0,0,0
Knowledge of languages,Inuit languages,10,0,0
Knowledge of languages,Inuinnaqtun (Inuvialuktun),0,0,0
Knowledge of languages,Inuktitut,0,0,10
Knowledge of languages,Inuit languages; n.i.e.,0,0,0
Knowledge of languages,Iroquoian languages,20,20,0
Knowledge of languages,Cayuga,0,0,0
Knowledge of languages,Mohawk,20,15,0
Knowledge of languages,Oneida,0,0,0
Knowledge of languages,Iroquoian languages; n.i.e.,0,0,0
Knowledge of languages,Kutenai,0,0,0
Knowledge of languages,Michif,0,0,0
Knowledge of languages,Salish languages,0,0,0
Knowledge of languages,Comox,0,0,0
Knowledge of languages,Halkomelem,0,0,0
Knowledge of languages,Lillooet,0,0,0
Knowledge of languages,Okanagan,0,0,0
Knowledge of languages,Shuswap (Secwepemctsin),0,0,0
Knowledge of languages,Squamish,0,0,0
Knowledge of languages,Straits,0,0,0
Knowledge of languages,Thompson (Ntlakapamux),0,0,0
Knowledge of languages,Salish languages; n.i.e.,0,0,0
Knowledge of languages,Siouan languages,0,0,0
Knowledge of languages,Dakota,0,0,0
Knowledge of languages,Stoney,0,0,0
Knowledge of languages,Siouan languages; n.i.e.,0,0,0
Knowledge of languages,Tlingit,0,0,0
Knowledge of languages,Tsimshian languages,0,0,0
Knowledge of languages,Gitxsan (Gitksan),0,0,0
Knowledge of languages,Nisga'a,0,0,0
Knowledge of languages,Tsimshian,0,0,0
Knowledge of languages,Wakashan languages,0,0,0
Knowledge of languages,Haisla,0,0,0
Knowledge of languages,Heiltsuk,0,0,0
Knowledge of languages,Kwakiutl (Kwak'wala),0,0,0
Knowledge of languages,Nuu-chah-nulth (Nootka),0,0,0
Knowledge of languages,Wakashan languages; n.i.e.,0,0,0
Knowledge of languages,Aboriginal languages; n.o.s.,0,0,0
Knowledge of languages,Non-Aboriginal languages,127135,61040,66095
Knowledge of languages,Afro-Asiatic languages,7310,3800,3505
Knowledge of languages,Berber languages,0,0,0
Knowledge of languages,Kabyle,0,0,0
Knowledge of languages,Berber languages; n.i.e.,0,0,0
Knowledge of languages,Cushitic languages,315,150,165
Knowledge of languages,Bilen,0,0,0
Knowledge of languages,Oromo,35,25,10
Knowledge of languages,Somali,280,125,155
Knowledge of languages,Cushitic languages; n.i.e.,0,0,0
Knowledge of languages,Semitic languages,6985,3655,3330
Knowledge of languages,Amharic,275,145,135
Knowledge of languages,Arabic,5925,3135,2790
Knowledge of languages,Assyrian Neo-Aramaic,55,25,30
Knowledge of languages,Chaldean Neo-Aramaic,25,10,15
Knowledge of languages,Harari,125,60,60
Knowledge of languages,Hebrew,300,160,135
Knowledge of languages,Maltese,360,170,195
Knowledge of languages,Tigrigna,65,15,40
Knowledge of languages,Semitic languages; n.i.e.,35,15,15
Knowledge of languages,Afro-Asiatic languages; n.i.e.,60,20,35
Knowledge of languages,Austro-Asiatic languages,1225,505,715
Knowledge of languages,Khmer (Cambodian),110,50,55
Knowledge of languages,Vietnamese,1120,465,660
Knowledge of languages,Austro-Asiatic languages; n.i.e.,0,0,0
Knowledge of languages,Austronesian languages,9540,3925,5610
Knowledge of languages,Bikol,60,25,35
Knowledge of languages,Cebuano,445,190,250
Knowledge of languages,Fijian,0,0,0
Knowledge of languages,Hiligaynon,95,40,55
Knowledge of languages,Ilocano,355,140,220
Knowledge of languages,Malagasy,10,0,0
Knowledge of languages,Malay,355,155,195
Knowledge of languages,Pampangan (Kapampangan; Pampango),125,55,70
Knowledge of languages,Pangasinan,0,0,10
Knowledge of languages,Tagalog (Pilipino; Filipino),8860,3625,5240
Knowledge of languages,Waray-Waray,0,0,0
Knowledge of languages,Austronesian languages; n.i.e.,60,20,40
Knowledge of languages,Creole languages,1375,635,750
Knowledge of languages,Haitian Creole,80,35,40
Knowledge of languages,Creole; n.o.s.,595,280,315
Knowledge of languages,Creole languages; n.i.e.,720,325,395
Knowledge of languages,Dravidian languages,11655,5785,5865
Knowledge of languages,Kannada,165,95,65
Knowledge of languages,Malayalam,900,440,460
Knowledge of languages,Tamil,10380,5175,5205
Knowledge of languages,Telugu,475,240,235
Knowledge of languages,Dravidian languages; n.i.e.,10,0,0
Knowledge of languages,Hmong-Mien languages,0,0,0
Knowledge of languages,Indo-European languages,82735,40290,42435
Knowledge of languages,Albanian,230,130,95
Knowledge of languages,Armenian,490,230,260
Knowledge of languages,Balto-Slavic languages,13270,6230,7040
Knowledge of languages,Baltic languages,225,95,130
Knowledge of languages,Latvian,155,75,80
Knowledge of languages,Lithuanian,70,20,50
Knowledge of languages,Slavic languages,13070,6145,6930
Knowledge of languages,Belarusan,15,15,0
Knowledge of languages,Bosnian,75,45,35
Knowledge of languages,Bulgarian,225,120,100
Knowledge of languages,Croatian,870,445,425
Knowledge of languages,Czech,445,230,210
Knowledge of languages,Macedonian,2290,1110,1180
Knowledge of languages,Polish,4890,2185,2700
Knowledge of languages,Russian,1845,775,1070
Knowledge of languages,Serbian,925,480,440
Knowledge of languages,Serbo-Croatian,80,45,35
Knowledge of languages,Slovak,315,140,175
Knowledge of languages,Slovene (Slovenian),365,160,205
Knowledge of languages,Ukrainian,1840,860,980
Knowledge of languages,Slavic languages; n.i.e.,85,50,30
Knowledge of languages,Celtic languages,185,100,90
Knowledge of languages,Scottish Gaelic,95,60,40
Knowledge of languages,Welsh,25,10,20
Knowledge of languages,Celtic languages; n.i.e.,65,35,35
Knowledge of languages,Germanic languages,9165,4220,4945
Knowledge of languages,Afrikaans,380,155,220
Knowledge of languages,Danish,255,95,160
Knowledge of languages,Dutch,2745,1295,1450
Knowledge of languages,Frisian,100,50,50
Knowledge of languages,German,5605,2625,2980
Knowledge of languages,Icelandic,25,0,25
Knowledge of languages,Norwegian,105,45,60
Knowledge of languages,Swedish,190,80,110
Knowledge of languages,Vlaams (Flemish),40,10,30
Knowledge of languages,Yiddish,30,10,20
Knowledge of languages,Germanic languages; n.i.e.,0,0,10
Knowledge of languages,Greek,3835,1890,1940
Knowledge of languages,Indo-Iranian languages,33260,16530,16725
Knowledge of languages,Indo-Aryan languages,26840,13375,13465
Knowledge of languages,Bengali,2075,990,1085
Knowledge of languages,Gujarati,4040,2000,2035
Knowledge of languages,Hindi,7580,3815,3765
Knowledge of languages,Kashmiri,45,25,20
Knowledge of languages,Konkani,265,135,130
Knowledge of languages,Marathi,265,140,125
Knowledge of languages,Nepali,60,30,30
Knowledge of languages,Oriya (Odia),15,10,10
Knowledge of languages,Punjabi (Panjabi),5185,2615,2565
Knowledge of languages,Sindhi,610,275,335
Knowledge of languages,Sinhala (Sinhalese),1355,665,690
Knowledge of languages,Urdu,13240,6735,6510
Knowledge of languages,Iranian languages,7045,3460,3580
Knowledge of languages,Kurdish,100,65,35
Knowledge of languages,Pashto,865,440,430
Knowledge of languages,Persian (Farsi),6395,3145,3250
Knowledge of languages,Indo-Iranian languages; n.i.e.,145,85,60
Knowledge of languages,Italic (Romance) languages,24020,11830,12190
Knowledge of languages,Catalan,0,0,0
Knowledge of languages,Italian,8885,4575,4305
Knowledge of languages,Portuguese,4255,2050,2205
Knowledge of languages,Romanian,1805,845,960
Knowledge of languages,Spanish,9785,4735,5055
Knowledge of languages,Italic (Romance) languages; n.i.e.,40,15,20
Knowledge of languages,Japanese,515,195,320
Knowledge of languages,Kartvelian languages,10,0,10
Knowledge of languages,Georgian,0,0,10
Knowledge of languages,Korean,895,435,460
Knowledge of languages,Mongolic languages,0,0,0
Knowledge of languages,Mongolian,0,0,0
Knowledge of languages,Niger-Congo languages,2410,1185,1220
Knowledge of languages,Akan (Twi),400,195,200
Knowledge of languages,Bamanankan,25,15,15
Knowledge of languages,Edo,70,25,40
Knowledge of languages,Ewe,45,20,25
Knowledge of languages,Fulah (Pular; Pulaar; Fulfulde),45,25,25
Knowledge of languages,Ga,45,15,30
Knowledge of languages,Ganda,25,0,15
Knowledge of languages,Igbo,115,70,50
Knowledge of languages,Lingala,320,165,155
Knowledge of languages,Rundi (Kirundi),55,20,35
Knowledge of languages,Kinyarwanda (Rwanda),90,45,45
Knowledge of languages,Shona,130,55,80
Knowledge of languages,Swahili,460,245,215
Knowledge of languages,Wolof,20,10,10
Knowledge of languages,Yoruba,440,200,240
